date/time	settlement id	type	order id	sku	quantity	marketplace	fulfillment	order city	order state	order postal	product sales	shipping credits	gift wrap credits	promotional rebates	sales tax collected	selling fees	fba fees	other transaction fees	other	total	description
2016-03-08	6066231731	Order	109-5550618-8667418	DS-PFA5-RTV4	1	amazon.com	Amazon	BLOOMINGTON	IN	47403-2193	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-08	6066231731	Order	110-6813578-0552215	DS-PFA5-RTV4	1	amazon.com	Amazon	bronx	New York	10463	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-08	6066231731	Order	002-3631541-3665832	EA-E17A-HV0V	1	amazon.com	Amazon	SPRINGFIELD	MO	65804-6661	188.80	0	0	0	0	-28.32	-13.95	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-09	6066231731	Order	115-6082504-1136200	7H-GVQ9-WSVQ	1	amazon.com	Amazon	BALTIMORE	MD	21224-1912	99.98	7.99	0	0	0	-15.00	-14.34	0	0	78.63	NutriBullet Pro 900 Hi-Speed Blender/Mixer, 9-piece Set
2016-03-09	6066231731	FBA Inventory Fee									0	0	0	0	0	0	0	0	-6.95	-6.95	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-09	6066231731	FBA Inventory Fee									0	0	0	0	0	0	0	0	-6.46	-6.46	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-09	6066231731	FBA Inventory Fee									0	0	0	0	0	0	0	0	-4.29	-4.29	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-09	6066231731	FBA Inventory Fee									0	0	0	0	0	0	0	0	-4.04	-4.04	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-09	6066231731	Order	109-5076762-9004209	NQ-C1G4-SCM6	1	amazon.com	Amazon	ARLINGTON	VA	22205-1637	79.98	0	0	0	0	-12.00	-9.27	0	0	58.71	Magic Bullet NutriBullet 12-Piece High-Speed Blender/Mixer System
2016-03-09	6066231731	Order	110-4880670-9576207	EA-E17A-HV0V	1	amazon.com	Amazon	Pottstown	PA	19465-8544	188.80	0	0	0	0	-28.32	-13.95	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-09	6066231731	Order	002-7746131-7679428	DS-PFA5-RTV4	1	amazon.com	Amazon	BLAINE	MN	55449-4140	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-09	6066231731	Order	105-5818855-5209838	DS-PFA5-RTV4	1	amazon.com	Amazon	NAPERVILLE	IL	60563-0479	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-09	6066231731	Order	109-7790594-4428200	7H-GVQ9-WSVQ	1	amazon.com	Amazon	Rockville	MD	20853-1700	99.98	0	0	0	0	-15.00	-6.35	0	0	78.63	NutriBullet Pro 900 Hi-Speed Blender/Mixer, 9-piece Set
2016-03-09	6066231731	Order	106-7959107-0487446	DZ-5P6Q-V3IG	1	amazon.com	Amazon	PORT CLINTON	OHIO	43452-8973	67.93	0	0	0	0	-5.43	-3.02	0	0	59.48	SanDisk Connect 64GB Wireless Media Drive For Smartphones And Tablets - SDWS1-064G-A57
2016-03-09	6066231731	Service Fee									0	0	0	0	0	0	0	0	-4.80	-4.80	FBA Inventory Placement Service Fee
2016-03-09	6066231731	Service Fee									0	0	0	0	0	0	0	0	-4.00	-4.00	FBA Inventory Placement Service Fee
2016-03-09	6066231731	Service Fee									0	0	0	0	0	0	0	0	-11.80	-11.80	FBA Inventory Placement Service Fee
2016-03-09	6066231731	Service Fee									0	0	0	0	0	0	0	0	-10.20	-10.20	FBA Inventory Placement Service Fee
2016-03-09	6066231731	Order	109-8155477-9147414	DS-PFA5-RTV4	1	amazon.com	Amazon	LOS ANGELES	CA	90046-2606	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-09	6066231731	Order	112-7755102-6689030	DS-PFA5-RTV4	2	amazon.com	Amazon	ST MARIES	ID	83861-7003	145.94	0	0	0	0	-21.90	-10.92	0	0	113.12	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-09	6066231731	Order	103-6405713-9405812	EA-E17A-HV0V	1	amazon.com	Amazon	MARSHALL	VA	20115-2365	182.90	5.03	0	0	0	-27.44	-18.98	0	0	141.51	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-09	6066231731	Order	103-1299593-6570645	fb-man-0005	1	amazon.com	Amazon	BOSTON	MA	02110-1615	109.89	0	0	0	0	-16.48	-15.12	0	0	78.29	Keurig K350 2.0 Brewing System
2016-03-09	6066231731	Order	002-2089788-2277811	DS-PFA5-RTV4	1	amazon.com	Amazon	BRIDGEPORT	CT	06610-1631	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-09	6066231731	Refund	109-0030533-1206650	0P-OJMJ-BPI4	1	amazon.com	Amazon	Albuquerque	NM	87112	-117.98	0	0	0	0	14.16	0	0	23.60	-80.22	Keurig K40 Elite Brewing System
2016-03-09	6074589941	Order	002-3650354-7933031	EE-92RA-1IZD	1	amazon.com	Amazon	Miami	FL	33136	159.98	0	0	0	0	-24.00	-16.68	0	0	119.30	Keurig 2.0 Brewing System by Keurig, Silver
2016-03-09	6074589941	Order	105-5582686-1008206	EA-E17A-HV0V	1	amazon.com	Amazon	BRONX	NY	10453-3806	188.99	0	0	0	0	-28.35	-13.95	0	0	146.69	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-10	6074589941	Order	103-0363680-0443454	DS-PFA5-RTV4	1	amazon.com	Amazon	NEW YORK	NY	10036-8504	73.99	5.42	0	-5.42	0	-11.10	-5.96	0	0	56.93	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-10	6074589941	Order	106-8078042-9936208	DS-PFA5-RTV4	1	amazon.com	Amazon	NEW CARROLLTON	MD	20784-3224	72.97	4.43	0	0	0	-10.95	-10.39	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-10	6074589941	FBA Inventory Fee									0	0	0	0	0	0	0	0	-3.41	-3.41	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-10	6074589941	Order	112-0458187-8722660	DS-PFA5-RTV4	1	amazon.com	Amazon	NORTH ANDOVER	MA	01845-5643	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-10	6074589941	Order	104-4029092-6221059	58-T7XH-DUKA	1	amazon.com	Amazon	SUN VALLEY	CALIFORNIA	91352-4441	75.58	0	0	0	0	-6.05	-8.88	0	0	60.65	Crosley CR8005A-BK Cruiser Portable 3-Speed Turntable (Black)
2016-03-10	6074589941	Order	104-2656149-7580256	58-T7XH-DUKA	1	amazon.com	Amazon	LEBANON	CT	06249-1923	75.58	0	0	0	0	-6.05	-8.88	0	0	60.65	Crosley CR8005A-BK Cruiser Portable 3-Speed Turntable (Black)
2016-03-10	6074589941	Order	105-3977295-9031416	EA-E17A-HV0V	1	amazon.com	Amazon	MIAMI	FLORIDA	33196-3871	188.99	0	0	0	0	-28.35	-13.95	0	0	146.69	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-10	6074589941	Order	113-8190416-7477844	EA-E17A-HV0V	1	amazon.com	Amazon	CORAL SPRINGS	FLORIDA	33071-6499	188.99	0	0	0	0	-28.35	-13.95	0	0	146.69	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-10	6074589941	Order	115-1136686-1272219	9N-F8I8-WATQ	1	amazon.com	Amazon	BROOKLYN	NY	11214-7008	188.99	0	0	0	0	-28.35	-13.95	0	0	146.69	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-10	6074589941	Order	116-5992744-7947440	DS-PFA5-RTV4	1	amazon.com	Amazon	NEWARK	OH	43055-8610	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-10	6074589941	Order	115-5476479-6601819	DS-PFA5-RTV4	1	amazon.com	Amazon	PHILADELPHIA	PA	19122	72.98	0	0	0	0	-10.95	-5.96	0	0	56.07	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-10	6074589941	Order	111-8198892-9332242	EA-E17A-HV0V	1	amazon.com	Amazon	Newberg	OR	97132-7130	188.80	12.08	0	-12.08	0	-28.32	-13.95	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-10	6074589941	Order	103-3796197-1984258	EA-E17A-HV0V	1	amazon.com	Amazon	MIAMI	FL	33106	188.80	4.71	0	-4.71	0	-28.32	-13.95	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-10	6074589941	Order	105-5192397-9426628	7H-GVQ9-WSVQ	1	amazon.com	Amazon	Lewisburg	TN	37091	99.98	0	0	0	0	-15.00	-6.74	0	0	78.24	NutriBullet Pro 900 Hi-Speed Blender/Mixer, 9-piece Set
2016-03-10	6074589941	Order	110-2881840-2352240	EE-92RA-1IZD	1	amazon.com	Amazon	FORT BELVOIR	VIRGINIA	22060-3202	159.98	0	0	0	0	-24.00	-16.68	0	0	119.30	Keurig 2.0 Brewing System by Keurig, Silver
2016-03-10	6074589941	Transfer									0	0	0	0	0	0	0	0	-12,934.05	-12,934.05	To your account ending in: 2921, Federal ACH Trace ID: 091000012360243
2016-03-11	6074589941	Adjustment		GR-U046-45XQ	1						0	0	0	0	0	0	0	0	79.45	79.45	FBA Inventory Reimbursement - Damaged:Warehouse
2016-03-11	6074589941	Order	106-6235742-9873065	8Z-OR1S-2ZHI	1	amazon.com	Amazon	LEXINGTON	KY	40502-2343	75.09	6.73	0	-6.73	0	-11.26	-5.96	0	0	57.87	Nutribullet Special Edition 600 Watt Motor Nutrient Extractor
2016-03-11	6074589941	Order	116-4988110-0010613	3K-PI1P-4DJO	1	amazon.com	Amazon	ELK GROVE VILLAGE	IL	60007-6118	139.99	11.63	0	-11.63	0	-11.20	-3.02	0	0	125.77	Canon PowerShot ELPH 340 HS 16MP Digital Camera (Silver)
2016-03-11	6074589941	Order	112-8957000-1741840	EE-92RA-1IZD	1	amazon.com	Amazon	Raleigh	NC	27614-7986	159.98	27.82	0	0	0	-24.00	-44.50	0	0	119.30	Keurig 2.0 Brewing System by Keurig, Silver
2016-03-11	6074589941	FBA Inventory Fee									0	0	0	0	0	0	0	0	-3.54	-3.54	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-11	6074589941	Order	114-8157722-8797833	DS-PFA5-RTV4	1	amazon.com	Amazon	ARTESIA	CA	90701-5754	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-11	6074589941	Order	114-3417845-3930666	EE-92RA-1IZD	1	amazon.com	Amazon	Arlington	TX	76002	159.98	0	0	0	0	-24.00	-16.68	0	0	119.30	Keurig 2.0 Brewing System by Keurig, Silver
2016-03-11	6074589941	Order	106-3439735-8928201	OQ-PKAJ-8I08	1	amazon.com	Amazon	AUSTIN	TEXAS	78745	70.97	0	0	0	0	-5.68	-8.88	0	0	56.41	Crosley CR8005A-GR Cruiser Portable Turntable (Green)
2016-03-11	6074589941	Refund	110-2178371-0082638	EA-E17A-HV0V	1	amazon.com	Amazon	JACKSONVILLE	FL	32223-7399	-183.33	0	0	0	0	22.50	0	0	0	-160.83	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-11	6074589941	Order	103-2122710-0944255	DS-PFA5-RTV4	1	amazon.com	Amazon	AUSTIN	TX	78704-2946	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-11	6074589941	Service Fee									0	0	0	0	0	0	0	0	-15.30	-15.30	FBA Inventory Placement Service Fee
2016-03-11	6074589941	Order	107-8144170-3025060	DS-PFA5-RTV4	1	amazon.com	Amazon	MOUNT HOLLY	NJ	08060-1257	72.97	0	0	0	5.11	-10.95	-5.96	-0.15	0	61.02	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-11	6074589941	Service Fee									0	0	0	0	0	0	0	0	-4.00	-4.00	FBA Inventory Placement Service Fee
2016-03-11	6074589941	Adjustment	109-0030533-1206650	0P-OJMJ-BPI4	1						0	0	0	0	0	0	0	0	87.89	87.89	FBA Inventory Reimbursement - Customer Return
2016-03-11	6074589941	Order	002-4346553-7373024	EA-E17A-HV0V	1	amazon.com	Amazon	SAN CLEMENTE	CA	92673-6949	188.80	12.08	0	-12.08	0	-28.32	-13.95	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-11	6074589941	Order	102-6411114-0448210	DS-PFA5-RTV4	1	amazon.com	Amazon	SALEM	OH	44460-9104	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-11	6074589941	Order	110-5015013-8597852	4C-LVWY-H6TD	1	amazon.com	Amazon	HAVRE DE GRACE	MD	21078-2695	133.99	0	0	0	0	-20.10	-12.00	0	0	101.89	Keurig K45 Elite Brewing System, Black
2016-03-12	6074589941	FBA Inventory Fee									0	0	0	0	0	0	0	0	-8.41	-8.41	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-12	6074589941	FBA Inventory Fee									0	0	0	0	0	0	0	0	-4.85	-4.85	FBA Amazon-Partnered Carrier Shipment Fee
