return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2017-01-11	002-3079228-6776241	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	CUSTOMER_DAMAGED	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-11	106-7800445-8465831	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	SELLABLE	ORDERED_WRONG_ITEM	Unit returned to inventory
2017-01-10	106-6161800-4907411	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	CUSTOMER_DAMAGED	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-10	111-9621926-1753011	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory
2017-01-09	002-1522254-7733066	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory
2017-01-09	107-3105517-6583448	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-09	109-1941066-6522649	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX1	SELLABLE	NOT_COMPATIBLE	Unit returned to inventory
2017-01-09	109-1941066-6522649	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX1	SELLABLE	NOT_COMPATIBLE	Unit returned to inventory
2017-01-08	109-0702933-1607434	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-08	106-2034332-3427419	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory
2017-01-07	114-9617577-3935442	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory
2017-01-07	105-5362924-8611454	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	NOT_COMPATIBLE	Unit returned to inventory
2017-01-07	103-9309552-5145045	S55-C5274NEW-OB	B01B5WFX6C	X0014SU8CD	2016 Newest Toshiba Satellite S55 Flagship High Performance 15.6" Laptop- Intel Core i7-5500U Processor, 12GB RAM, 1TB Hard Drive, DVD+/-RW, TruBrite	1	LEX2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory
2017-01-07	106-6714042-4451424	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-07	106-6714042-4451424	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-06	002-5962147-4252235	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	CUSTOMER_DAMAGED	NOT_COMPATIBLE	Unit returned to inventory
2017-01-05	113-5042227-1686603	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	SELLABLE	ORDERED_WRONG_ITEM	Unit returned to inventory
