return-date	order-id	sku	asin	fnsku
2016-11-23	113-1675528-4368205	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-23	108-1109418-4323428	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-23	108-1109418-4323428	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-23	108-1109418-4323428	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-23	104-4756934-2780263	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-22	109-7768147-1969063	Lenovo&reg; H50-55 AMD A10 416471	B01BHD0BPM	X0018AW3Q1
2016-11-21	102-5632268-1877830	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-19	102-4645631-9207446	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-17	112-2454034-5133835	I3552-4041BLK T	B01MECG3SG	X0019C6215
2016-11-17	111-0680422-7733831	Samsung Core Prime SM-G360Z Cricket	B01FP5DT48	X0018F4AF3
2016-11-16	115-5243006-5192257	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-16	103-0314916-9362604	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-16	113-6764056-0600219	Lenovo&reg; H50-55 AMD A10 416471	B01BHD0BPM	X0018AW3Q1
2016-11-15	116-4060776-4905064	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-14	111-1481719-9451436	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-14	104-2805565-0648243	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-02	116-4531014-4911427	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-02	116-4531014-4911427	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-10-30	002-6861734-0309028	HP Pavilion 17-g161us - T	B01C1EBG82	X0016DZGZF
2016-10-28	105-7309945-0821833	Dell i5368-1692GRY 405959	B01F3R91AO	X0017MA0QF
2016-10-27	107-9836116-5617067	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-10-26	114-8653439-4412240	Dell Inspiron i5759-5306SLV 782427	B015JVC5WK	X0017E1WNX
2016-10-23	110-7080997-3428265	I3552-4041BLK	B019TTJ8BE	X00153TOLN
2016-10-23	102-7008445-3531402	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-10-22	110-5917350-4280247	S55-C5274NEW-OB	B01B5WFX6C	X0014SU8CD
2016-10-18	115-4267711-1567424	Dell&nbsp;i5559-4013SLV-T	B01DY9GSEK	X0013KQ7ZJ
2016-10-08	115-1458339-5461816	HP ab167us	B016EKDFQA	X00169LP8L
2016-10-06	111-4196500-4220246	GH-50	B01CXHXJKK	X0013ANGIZ
2016-09-29	110-5070163-4938664	Acer 17inch Win 7	B00I3DOZEI	X0016B9OW3
2016-09-29	114-5719352-9495466	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-09-21	113-7356359-0821051	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-09-20	110-3590270-9556212	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-09-20	116-5224741-8626669	GH-50	B01CXHXJKK	X0013ANGIZ
2016-09-18	111-6674527-4760261	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-09-18	109-2215790-1304256	Acer C810-T7ZT	B00X5X4230	X0016AKBK3
2016-09-17	103-0428932-2061804	Dell C1760nw	B00A7APX0A	X0015CM6YB
2016-09-16	108-3717445-4588236	GH-50BHO	B01HLJ7KDC	X001500YVP
2016-09-13	112-1123618-1079449	Lenovo C20 AIO	B0195XZ2MI	X0015DWGC7
2016-09-12	115-0199977-4052275	GH-50	B01CXHXJKK	X0013ANGIZ
2016-09-07	104-6698200-0269021	HP Stream 11-r020nr	B015CQ8OUY	X0016C8O0F
2016-09-05	002-0722133-0166612	GH-50	B01CXHXJKK	X0013ANGIZ
2016-09-02	107-6760620-4125051	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-09-01	106-8360377-7974659	GH-50	B01CXHXJKK	X0013ANGIZ
