adjusted-date	transaction-item-id	fnsku	sku	product-name	fulfillment-center-id	quantity	reason	disposition
2016-08-17T07:00:00+00:00	57753089606	X000YVMX9R	OJ-THRV-5B7C	Dell XPS13 XPS13-9343 13.3-inch Ultrabook Computer (2.2 GHz Intel Core i5 Processor, 4 GB DDR3 SDRAM, 128 GB Solid State Hard Drive, Windows 8)	EWR4	1	N	SELLABLE
2016-08-13T07:00:00+00:00	8584932638	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BFI4	-1	O	UNSELLABLE
2016-08-12T07:00:00+00:00	68744171164	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	RIC2	-1	M	SELLABLE
2016-08-12T07:00:00+00:00	40561865165	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	PHL7	-1	E	SELLABLE
2016-08-12T07:00:00+00:00	68747808164	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	RIC2	1	F	SELLABLE
2016-08-12T07:00:00+00:00	40561866165	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	PHL7	1	P	UNSELLABLE
2016-08-08T07:00:00+00:00	44398459605	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	DFW7	1	P	UNSELLABLE
2016-08-08T07:00:00+00:00	44398458605	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	DFW7	-1	E	SELLABLE
2016-08-08T07:00:00+00:00	57128935606	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	EWR4	-1	D	UNSELLABLE
2016-08-07T07:00:00+00:00	45874799167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	1	F	UNSELLABLE
2016-08-07T07:00:00+00:00	45874806167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	M	UNSELLABLE
2016-08-06T07:00:00+00:00	112787073021	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LEX2	-1	M	UNSELLABLE
2016-08-05T07:00:00+00:00	112763327021	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LEX2	-1	Q	UNSELLABLE
2016-08-05T07:00:00+00:00	45841290167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	1	P	UNSELLABLE
2016-08-05T07:00:00+00:00	45840874167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	1	P	UNSELLABLE
2016-08-05T07:00:00+00:00	45854153167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	E	SELLABLE
2016-08-05T07:00:00+00:00	56929577606	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	EWR4	1	P	UNSELLABLE
2016-08-05T07:00:00+00:00	45840903167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	1	P	UNSELLABLE
2016-08-05T07:00:00+00:00	56929575606	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	EWR4	-1	E	SELLABLE
2016-08-05T07:00:00+00:00	45840902167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	E	SELLABLE
2016-08-05T07:00:00+00:00	45841289167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	E	SELLABLE
2016-08-05T07:00:00+00:00	45854154167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	1	P	UNSELLABLE
2016-08-05T07:00:00+00:00	112763328021	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LEX2	1	P	UNSELLABLE
2016-08-05T07:00:00+00:00	45841332167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	E	SELLABLE
2016-08-05T07:00:00+00:00	45850884167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	M	SELLABLE
2016-08-05T07:00:00+00:00	45841333167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	1	P	UNSELLABLE
2016-08-05T07:00:00+00:00	45840873167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	E	SELLABLE
2016-08-04T07:00:00+00:00	68526189164	X000XXECYP	8Z-95SJ-2ZT3	2016 Newest Premium Toshiba Satellite 15 Laptop (Intel Quad Core Processor up to 2.40 GHz, 8GB RAM, 500GB HDD, 15.6" HD Backlit LED Screen, DVD+/-RW, HDMI, Webcam, USB 3.0, Bluetooth, Windows 10)	RIC2	-1	O	UNSELLABLE
2016-08-03T07:00:00+00:00	45799850167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	1	P	UNSELLABLE
2016-08-03T07:00:00+00:00	45799849167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	E	SELLABLE
2016-08-02T07:00:00+00:00	45782118167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	1	P	UNSELLABLE
2016-08-02T07:00:00+00:00	45782117167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	E	SELLABLE
2016-08-01T07:00:00+00:00	8263823638	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BFI4	1	P	UNSELLABLE
2016-08-01T07:00:00+00:00	8263822638	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BFI4	-1	E	SELLABLE
2016-08-01T07:00:00+00:00	8264042638	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BFI4	-1	E	SELLABLE
2016-08-01T07:00:00+00:00	8264043638	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BFI4	1	P	UNSELLABLE
2016-07-29T07:00:00+00:00	45705812167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-5	Q	UNSELLABLE
2016-07-29T07:00:00+00:00	45705024167	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	BNA3	-1	Q	UNSELLABLE
