approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2016-07-21T00:00:00+00:00	650256211		114-9836924-6177055	CustomerReturn	J4-SH5K-6SC5	X000YMO10F	B01B8IL4XE	2016 Newest Toshiba Satellite C55 15.6" Flagship High Performance Laptop- Intel Core i7-5500U 2.4GHz, 8GB RAM, 1TB Hard Drive, HD LED Backlit Display, DVD+/-RW, Webcam, HDMI, Bluetooth, Windows 10	NewItem	USD	150.00	150.00	1	0	1		
2016-07-20T00:00:00+00:00	649380851		102-3637316-0757848	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	20.91	20.91	1	0	1		
2016-07-20T00:00:00+00:00	649163731			Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	27.58	27.58	1	0	1		
2016-07-18T00:00:00+00:00	647457411			Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	27.63	27.63	1	0	1		
2016-07-17T00:00:00+00:00	646892251			Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	27.70	27.70	1	0	1		
2016-07-16T00:00:00+00:00	646271221	1809551741		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-07-15T00:00:00+00:00	645082781	1807983791		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	27.79	27.79	1	0	1		
2016-07-14T00:00:00+00:00	644592031	1807015021		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	27.79	27.79	1	0	1		
2016-07-12T00:00:00+00:00	641966751			Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	28.05	28.05	1	0	1		
2016-07-09T00:00:00+00:00	639960641			Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	28.04	28.04	1	0	1		
